B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,B-37,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,10.0,,,,,,,,,1.92,,0.3,,,,,,,,,,,,,,,,,,,,0.073,,,,,2,65.67,2.94,8.56,0.59,-0.14,-0.12,0.62,1
,10.0,,,,,,,,,1.92,,0.27,,,,,,,,,,,,,,,,,,,,0.073,,,,,3,65.89,2.94,8.39,0.81,-0.14,-0.29,0.88,1
,10.0,,,,,,,,,2.12,,0.3,,,,,,,,,,,,,,,,,,,,0.079,,,,,4,64.91,3.14,8.64,-0.16,0.06,-0.04,0.18,0
,8.0,,,,,,,,,0.1,,,,,,0.0,,,,,,,,,,,,,,,,0.25,,,,,1,53.27,-0.52,-2.06,1.27,0.17,-0.21,1.3,1
,8.0,,,,,,,,,0.11,,,,,,0.002,,,,,,,,,,,,,,,,0.275,,,,,2,51.7,-0.53,-2.16,-0.3,0.16,-0.31,0.46,2
,8.0,,,,,,,,,0.3,,,,,,0.005,,,,,,,,,,,,,,,,0.265,,,,,3,52.12,-0.62,-1.75,0.12,0.07,0.1,0.17,0
,8.0,,,,,,,,,0.25,,,,,,0.01,,,,,,,,,,,,,,,,0.265,,,,,4,52.11,-0.67,-1.91,0.11,0.02,-0.06,0.13,0
,20.0,,,,,,,,,,,,,,,,,,,,,,,0.016,,0.0085,,,,,,0.007,,,,,1,85.34,0.95,-5.48,0.18,-0.17,0.63,0.68,1
,20.0,,,,,,,,,,,,,,,,,,,,,,,0.0166,,0.0086,,,,,,0.068,,,,,2,85.49,0.99,-5.59,0.34,-0.13,0.52,0.63,1
,20.0,,,,,,,,,,,,,,,,,,,,,,,0.0185,,0.0088,,,,,,0.066,,,,,3,84.89,0.94,-5.92,-0.26,-0.18,0.19,0.37,0
,20.0,,,,,,,,,,,,,,,,,,,,,,,0.0185,,0.0089,,,,,,0.064,,,,,4,85.41,0.95,-5.91,0.25,-0.17,0.2,0.37,0
,20.0,,,,,,,,,,,,,,,,,,,,,,,0.01925,,0.009,,,,,,0.063,,,,,5,85.03,0.97,-6.07,-0.13,-0.15,0.04,0.2,0
,,13.0,,,,,,,,,,1.2,,,,,,,,,,,,,10.0,,,,,,,0.22,,,,,1,53.38,5.47,-1.51,0.51,-0.83,-0.84,1.28,1
,,15.0,,,,,,,,,,1.4,,,,,,,,,,,,,10.0,,,,,,,0.18,,,,,2,55.48,6.71,-0.82,2.61,0.41,-0.15,2.64,1
,,11.0,,,,,,,,,,1.6,,,,,,,,,,,,,10.0,,,,,,,0.18,,,,,3,51.58,7.3,-0.37,-1.3,1.0,0.29,1.67,1
,,13.0,,,,,,,,,,1.3,,,,,,,,,,,,,10.0,,,,,,,0.18,,,,,4,53.75,6.42,-1.0,0.88,0.12,-0.33,0.95,1
,,3.0,,,,,,,,4.1,,1.39,,,,,,,,,,,,,,,,,,,,0.85,,,,,1,35.47,1.53,1.97,-0.5,0.0,-0.12,0.51,1
,,3.0,,,,,,,,3.95,,1.29,,,,,,,,,,,,,,,,,,,,0.78,,,,,2,36.0,1.49,1.93,0.03,-0.03,-0.16,0.16,0
,3.0,,,,,,,,,4.0,,2.5,,,,,,,,,,,,,,,,,,,,0.01,,,,,1,53.35,22.3,18.54,3.48,7.77,-2.56,8.89,1
,2.0,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,0.015,,,,,2,55.13,20.66,24.18,5.25,6.13,3.07,8.64,1
,0.0,,,,,,,,,9.0,,1.5,,,,,,,,,,,,,,,,,,,,0.04,,,,,3,52.35,16.23,24.03,2.48,1.7,2.92,4.19,1
